HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = Inf
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = 0.159015
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.09 | Tmax = 0.149433
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.46 | Tmax = 0.140717
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 1.000 | alpha = 1.16 | Tmax = 0.242663
 HL = 30.000 | t1//t0 = 150.000 | l1//l0 = 1.000 | alpha = 1.13 | Tmax = Inf
 HL = 0.200 | t1//t0 = 12.000 | l1//l0 = 0.030 | alpha = 1.32 | Tmax = Inf
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.26 | Tmax = 0.515474
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.12 | Tmax = 0.062302
 HL = 0.200 | t1//t0 = 13.000 | l1//l0 = 1.000 | alpha = 1.11 | Tmax = 0.101592
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.001 | alpha = 1.10 | Tmax = 0.062460
 HL = 0.200 | t1//t0 = 11.000 | l1//l0 = 0.002 | alpha = 1.01 | Tmax = 0.063334
 HL = 7.000 | t1//t0 = 4.000 | l1//l0 = 1.000 | alpha = 1.52 | Tmax = 1.714252
 HL = 10.000 | t1//t0 = 11.000 | l1//l0 = 0.001 | alpha = 1.05 | Tmax = Inf
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.100 | alpha = 1.11 | Tmax = 0.063045
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.10 | Tmax = 0.063161
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.13 | Tmax = 0.284284
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.300 | alpha = 1.19 | Tmax = 0.168697
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.09 | Tmax = 0.132781
 HL = 0.500 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.00 | Tmax = 0.153458
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.03 | Tmax = 0.129680
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.05 | Tmax = 0.311518
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.001 | alpha = 1.23 | Tmax = 0.092938
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.18 | Tmax = 0.176404
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.27 | Tmax = 0.123550
 HL = 10.000 | t1//t0 = 60.000 | l1//l0 = 0.005 | alpha = 1.19 | Tmax = Inf
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.42 | Tmax = 0.119209
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.13 | Tmax = 0.218114
 HL = 7.000 | t1//t0 = 220.000 | l1//l0 = 0.100 | alpha = 1.11 | Tmax = Inf
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.21 | Tmax = 0.452458
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.010 | alpha = 1.15 | Tmax = 0.147711
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.31 | Tmax = 0.276329
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.005 | alpha = 1.36 | Tmax = 0.448830
