HL = 1.000 | t1//t0 = 9.000 | l1//l0 = 0.700 | alpha = 1.34 | Tmax = Inf
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.40 | Tmax = 0.159015
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.030 | alpha = 1.09 | Tmax = 0.149433
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.46 | Tmax = 0.140717
 HL = 22.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.54 | Tmax = 4.909461
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.700 | alpha = 1.21 | Tmax = 0.074863
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.300 | alpha = 1.20 | Tmax = 0.127191
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.36 | Tmax = 0.109096
 HL = 0.200 | t1//t0 = 4.000 | l1//l0 = 0.070 | alpha = 1.09 | Tmax = 0.168250
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.070 | alpha = 1.36 | Tmax = 0.065311
 HL = 0.200 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.12 | Tmax = 0.297398
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.21 | Tmax = 0.151288
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.21 | Tmax = 0.480118
 HL = 0.500 | t1//t0 = 2.000 | l1//l0 = 0.050 | alpha = 1.27 | Tmax = 0.120148
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.40 | Tmax = 0.062816
 HL = 7.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.52 | Tmax = 1.162322
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.050 | alpha = 1.37 | Tmax = 0.064699
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.500 | alpha = 1.34 | Tmax = 0.130882
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.25 | Tmax = 0.102367
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.24 | Tmax = 0.142316
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.700 | alpha = 1.28 | Tmax = 0.170784
 HL = 0.200 | t1//t0 = 17.000 | l1//l0 = 1.000 | alpha = 1.24 | Tmax = 0.062778
 HL = 5.000 | t1//t0 = 2.000 | l1//l0 = 1.000 | alpha = 1.43 | Tmax = 0.987532
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 0.070 | alpha = 1.10 | Tmax = 0.063161
 HL = 0.200 | t1//t0 = 10.000 | l1//l0 = 1.000 | alpha = 1.24 | Tmax = 0.105363
 HL = 2.000 | t1//t0 = 2.000 | l1//l0 = 0.100 | alpha = 1.39 | Tmax = 0.392346
 HL = 0.200 | t1//t0 = 5.000 | l1//l0 = 0.500 | alpha = 1.33 | Tmax = 0.109138
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.300 | alpha = 1.12 | Tmax = 0.220430
 HL = 1.000 | t1//t0 = 4.000 | l1//l0 = 0.700 | alpha = 1.13 | Tmax = 0.284284
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.070 | alpha = 1.21 | Tmax = 0.217314
 HL = 0.200 | t1//t0 = 15.000 | l1//l0 = 1.000 | alpha = 1.20 | Tmax = 0.067511
 HL = 1.000 | t1//t0 = 2.000 | l1//l0 = 0.700 | alpha = 1.24 | Tmax = 0.157747
 HL = 0.500 | t1//t0 = 4.000 | l1//l0 = 0.500 | alpha = 1.25 | Tmax = 0.134823
